question,answer,predicted_answer
Restaurants in Nashville with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in Nashville offer Outdoor Seating and have a star rating above 4.5: barre3 Nashville - The Gulch, getFIT615, Izzie's Ice, Armstrong Locksmith, Gossage Jewelers, The Handsomizerâ¢, Gypsy Apple Beauty, Natchez Trace Parkway, The Spine Shop Chiropractic, Springtime Fitness, Harlow Salon, Anderson Design Group, Float Nashville, Green Hills Seamstress","{'query': 'Restaurants in Nashville with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Based on the information provided, Watermark Restaurant and The High Watt both offer outdoor seating with ratings of 4.0 or higher.'}"
Restaurants in Clementon with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Clementon that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in Clementon with more than 4.5 rating that offers Outdoor Seating?', 'result': "" Based on the information provided, there are two restaurants in Clementon that have more than 4.5 rating and offer outdoor seating: Lilly's Gourmet and Catering and Have A Greener Day.""}"
Restaurants in New Castle with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in New Castle that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in New Castle with more than 4.5 rating that offers Outdoor Seating?', 'result': "" Arner's Restaurant has Outdoor Seating and its rating is 2.0.""}"
Restaurants in New Orleans with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in New Orleans offer Outdoor Seating and have a star rating above 4.5: Ann Becnel Companion Dogs, The Music Box Village, Ernie's Tours, Brooms N Buckets, Century Girl, CrossFit NOLA, New Orleans Boxing Club, Treasure Tattoo, Savage Beauty Salon, Revival, Webb's Bywater Music, Ice Cream 504","{'query': 'Restaurants in New Orleans with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Preservation Hall and Zea Rotisserie and Grill both offer Outdoor Seating.'}"
Restaurants in Harvey with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Harvey that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in Harvey with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Blend Lounge in city Tampa state FL has 4.0 rating for 47 reviews, offers Lounges, Bars, Nightlife food and it has attributes Alcohol, RestaurantsGoodForGroups, HappyHour, HasTV, OutdoorSeating, BikeParking, NoiseLevel, RestaurantsPriceRange2, WheelchairAccessible, BusinessParking, Music, Smoking, WiFi, DogsAllowed, RestaurantsReservations, Ambience, CoatCheck, BusinessAcceptsCreditCards and lacks None.'}"
Restaurants in Yardley with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Yardley that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in Yardley with more than 4.5 rating that offers Outdoor Seating?', 'result': "" Based on the information provided, there are two restaurants in Yardley that have more than a 4.5 rating and offer outdoor seating: Lilly's Gourmet and Catering and Circle S BBQ.""}"
Restaurants in Franklin with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Franklin that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in Franklin with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Franklin\'s in city Philadelphia state PA has 3.5 rating for 129 reviews, offers Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars food and it has attributes BusinessAcceptsCreditCards, RestaurantsPriceRange2, WiFi, RestaurantsTakeOut, BusinessParking, Ambience, BusinessAcceptsBitcoin, RestaurantsAttire, NoiseLevel, Caters, RestaurantsGoodForGroups, Alcohol, HasTV, BikeParking, RestaurantsReservations, BestNights, OutdoorSeating, RestaurantsDelivery, GoodForKids, GoodForDancing, Music, GoodForMeal and lacks None. The restaurant is open {\'Tuesday\': \'14:0-0:0\', \'Wednesday\': \'14:0-0:0\', \'Thursday\': \'14:0-0:0\', \'Friday\': \'14:0-0:0\', \'Saturday\': \'12:0-0:0\', \'Sunday\': \'12:0-0:0\'}. User gave the restaurant 4 rating with review reading ""I love, love, love this place.  Great food, excellent beer selection, friendly people.  And it\'s just around the corner from me!"". Others found this review useful, cool.'}"
Restaurants in Wilmington with more than 4.5 rating that offers Outdoor Seating?,There are no restaurants in Wilmington that offer Outdoor Seating and have a star rating above 4.5.,"{'query': 'Restaurants in Wilmington with more than 4.5 rating that offers Outdoor Seating?', 'result': "" Based on the information provided, Mary's Kountry Kitchen has a rating of 4.0 and offers Outdoor Seating. Therefore, the answer to the question is Mary's Kountry Kitchen.""}"
Restaurants in Santa Barbara with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in Santa Barbara offer Outdoor Seating and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body","{'query': 'Restaurants in Santa Barbara with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Based on the information provided, both Cold Spring Tavern and Best Western Plus Pepper Tree Inn offer outdoor seating. Cold Spring Tavern has a patio area where guests can sit and enjoy their meals, while Best Western Plus Pepper Tree Inn has a lawn area where guests can relax and unwind.'}"
Restaurants in Saint Petersburg with more than 4.5 rating that offers Outdoor Seating?,"Following restaurants in Saint Petersburg offer Outdoor Seating and have a star rating above 4.5: Boyd Hill Nature Preserve, Simply Delicious - Country Market & Deli","{'query': 'Restaurants in Saint Petersburg with more than 4.5 rating that offers Outdoor Seating?', 'result': ' Tryst Gastro Lounge in city St Petersburg state FL has 3.5 rating for 295 reviews, offers Bars, Beer, Wine & Spirits, Restaurants, Lounges, Tapas/Small Plates, Mediterranean, Food, Nightlife food and it has attributes OutdoorSeating, RestaurantsReservations, NoiseLevel, Alcohol, RestaurantsAttire, RestaurantsDelivery, BikeParking, BusinessAcceptsCreditCards, GoodForKids, WiFi, Caters, HasTV, RestaurantsTakeOut, RestaurantsGoodForGroups, RestaurantsPriceRange2, Ambience, Music, CoatCheck, BYOB, GoodForMeal, BusinessParking, BestNights, HappyHour, Corkage, Smoking, RestaurantsTableService, WheelchairAccessible and lacks None.'}"
Restaurants in Nashville with more than 4.5 rating that offers take outs?,"Following restaurants in Nashville offer take outs and have a star rating above 4.5: barre3 Nashville - The Gulch, getFIT615, Izzie's Ice, Armstrong Locksmith, Gossage Jewelers, The Handsomizerâ¢, Gypsy Apple Beauty, Natchez Trace Parkway, The Spine Shop Chiropractic, Springtime Fitness, Harlow Salon, Anderson Design Group, Float Nashville, Green Hills Seamstress","{'query': 'Restaurants in Nashville with more than 4.5 rating that offers take outs?', 'result': ' Based on the information provided, Watermark Restaurant has more than 4.5 rating and offers takeout options.'}"
Restaurants in Clementon with more than 4.5 rating that offers take outs?,There are no restaurants in Clementon that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in Clementon with more than 4.5 rating that offers take outs?', 'result': ' Based on the information provided, El Alazan in Indianapolis has a rating of 4.5 and offers takeout.'}"
Restaurants in New Castle with more than 4.5 rating that offers take outs?,There are no restaurants in New Castle that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in New Castle with more than 4.5 rating that offers take outs?', 'result': "" Based on the information provided, there is only one restaurant in New Castle with more than 4.5 rating that offers takeouts, and that is Arner's Restaurant. It has a rating of 2.0 and offers takeout options.""}"
Restaurants in New Orleans with more than 4.5 rating that offers take outs?,"Following restaurants in New Orleans offer take outs and have a star rating above 4.5: Ann Becnel Companion Dogs, The Music Box Village, Ernie's Tours, Brooms N Buckets, Century Girl, CrossFit NOLA, New Orleans Boxing Club, Treasure Tattoo, Savage Beauty Salon, Revival, Webb's Bywater Music, Ice Cream 504","{'query': 'Restaurants in New Orleans with more than 4.5 rating that offers take outs?', 'result': ' Based on the information provided, Squeal and Redemption both have more than 4.5 rating and offer takeouts.'}"
Restaurants in Harvey with more than 4.5 rating that offers take outs?,There are no restaurants in Harvey that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in Harvey with more than 4.5 rating that offers take outs?', 'result': "" Based on the information provided, there are two restaurants in Harvey with more than 4.5 rating that offer takeouts: New Orleans Hamburger & Seafood Co. and Billy Bob's.""}"
Restaurants in Yardley with more than 4.5 rating that offers take outs?,There are no restaurants in Yardley that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in Yardley with more than 4.5 rating that offers take outs?', 'result': "" Based on the information provided, there are two restaurants in Yardley that have more than a 4.5 rating and offer takeouts: Lilly's Gourmet and Catering and Westside Pizza.""}"
Restaurants in Franklin with more than 4.5 rating that offers take outs?,There are no restaurants in Franklin that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in Franklin with more than 4.5 rating that offers take outs?', 'result': ' Franklin\'s in city Philadelphia state PA has 3.5 rating for 129 reviews, offers Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars food and it has attributes BusinessAcceptsCreditCards, RestaurantsPriceRange2, WiFi, RestaurantsTakeOut, BusinessParking, Ambience, BusinessAcceptsBitcoin, RestaurantsAttire, NoiseLevel, Caters, RestaurantsGoodForGroups, Alcohol, HasTV, BikeParking, RestaurantsReservations, BestNights, OutdoorSeating, RestaurantsDelivery, GoodForKids, GoodForDancing, Music, GoodForMeal and lacks None. The restaurant is open {\'Tuesday\': \'14:0-0:0\', \'Wednesday\': \'14:0-0:0\', \'Thursday\': \'14:0-0:0\', \'Friday\': \'14:0-0:0\', \'Saturday\': \'12:0-0:0\', \'Sunday\': \'12:0-0:0\'}. User gave the restaurant 4 rating with review reading ""I love, love, love this place.  Great food, excellent beer selection, friendly people.  And it\'s just around the corner from me!"". Others found this review useful, cool.'}"
Restaurants in Wilmington with more than 4.5 rating that offers take outs?,There are no restaurants in Wilmington that offer take outs and have a star rating above 4.5.,"{'query': 'Restaurants in Wilmington with more than 4.5 rating that offers take outs?', 'result': "" Based on the information provided, there are two restaurants in Wilmington with more than 4.5 rating that offer takeouts: Mary's Kountry Kitchen and [Name of other restaurant].""}"
Restaurants in Santa Barbara with more than 4.5 rating that offers take outs?,"Following restaurants in Santa Barbara offer take outs and have a star rating above 4.5: Dawna Ara, DACM, LAc, Hair By Audrey Johnson, Urban Optics Optometric Center, Imagine Weddings & Special Events, Santa Barbara Frame Shop & Gallery, MICHAEL & ANNA COSTA PHOTOGRAPHY, Santa Barbara PC Mechanic, Chandler Salon, ParadICE Hawaiian Shave Ice & Ice Cream, Mission Tuxedos, Daves Dogs - Cart, TRiMM Salon Color Bar, Tax Offices of Joel Perez, EA, Gavin Roy Presents, The Narrative Loft, Pedego Electric Bikes Santa Barbara, Twisted Twig Fine Florals, Alston Face & Body","{'query': 'Restaurants in Santa Barbara with more than 4.5 rating that offers take outs?', 'result': ' Based on the information provided, there are two restaurants in Santa Barbara with more than 4.5 rating that offer takeouts:\n\n1. Top Shop Automotive - Offers auto repair, tire services, and oil change stations, among others. They have a rating of 4.0 and offers takeouts.\n2. Santa Barbara Certified Farmers Market - Offers food, fruits, and vegetables. They have a rating of 4.5 and offers takeouts.\n\nNote: The answer is based on the information provided in the passage and may not reflect the current status or availability of these restaurants.'}"
Restaurants in Saint Petersburg with more than 4.5 rating that offers take outs?,"Following restaurants in Saint Petersburg offer take outs and have a star rating above 4.5: Boyd Hill Nature Preserve, Simply Delicious - Country Market & Deli","{'query': 'Restaurants in Saint Petersburg with more than 4.5 rating that offers take outs?', 'result': ' Based on the information provided, Annex in city Saint Petersburg state FL has 3.5 rating and offers takeout.'}"
Restaurants in Nashville with more than 4.5 rating that are not appointment only?,"Following restaurants in Nashville that are not appointment only and have a star rating above 4.5: Armstrong Locksmith, Gossage Jewelers, The Spine Shop Chiropractic, Harlow Salon, Parker's Paws Animal Hospital, Green Hills Seamstress","{'query': 'Restaurants in Nashville with more than 4.5 rating that are not appointment only?', 'result': ' Based on the information provided, there are two restaurants in Nashville that meet your criteria: 312 Pizza Company and Watermark Restaurant. Both of these restaurants have more than 4.5 ratings on Yelp, and neither of them is appointment only.'}"
Restaurants in Clementon with more than 4.5 rating that are not appointment only?,There are no restaurants in Clementon that are not appointment only and have a star rating above 4.5.,"{'query': 'Restaurants in Clementon with more than 4.5 rating that are not appointment only?', 'result': "" Based on the information provided, there are two restaurants in Clementon with more than 4.5 rating that are not appointment only: Lilly's Cafe America and Lilly's Gourmet and Catering.""}"
Restaurants in New Castle with more than 4.5 rating that are not appointment only?,There are no restaurants in New Castle that are not appointment only and have a star rating above 4.5.,"{'query': 'Restaurants in New Castle with more than 4.5 rating that are not appointment only?', 'result': "" Based on the information provided, there are two restaurants in New Castle with more than 4.5 rating that are not appointment only: Arner's Restaurant and [Name of another restaurant].""}"
Restaurants in New Orleans with more than 4.5 rating that are not appointment only?,"Following restaurants in New Orleans that are not appointment only and have a star rating above 4.5: Century Girl, Hidden History Tours, New Orleans Boxing Club, Treasure Tattoo, Le Monde Creole","{'query': 'Restaurants in New Orleans with more than 4.5 rating that are not appointment only?', 'result': "" Olivier's Creole Restaurant has a rating of 3.5 and Squeal has a rating of 3.5. Both of these restaurants have more than 4.5 rating on Yelp.""}"
Restaurants in Harvey with more than 4.5 rating that are not appointment only?,There are no restaurants in Harvey that are not appointment only and have a star rating above 4.5.,"{'query': 'Restaurants in Harvey with more than 4.5 rating that are not appointment only?', 'result': ' Based on the information provided, there are two restaurants in Harvey with more than 4.5 rating that are not appointment only: New Orleans Hamburger & Seafood Co. and Royal Sonesta New Orleans.'}"
Restaurants in Yardley with more than 4.5 rating that are not appointment only?,There are no restaurants in Yardley that are not appointment only and have a star rating above 4.5.,"{'query': 'Restaurants in Yardley with more than 4.5 rating that are not appointment only?', 'result': ' Based on the information provided, there are two restaurants in Yardley that meet your criteria - Steak-Out and Whole Foods Market. Both of these restaurants have more than 4.5 rating and are not appointment only.'}"
Restaurants in Franklin with more than 4.5 rating that are not appointment only?,Following restaurants in Franklin that are not appointment only and have a star rating above 4.5: Forst Builders,"{'query': 'Restaurants in Franklin with more than 4.5 rating that are not appointment only?', 'result': "" Franklin's in city Philadelphia state PA has 4.5 rating for 129 reviews, offers Restaurants, Burgers, Nightlife, Beer, Wine & Spirits, American (New), Bars, Food, Karaoke, Sports Bars food and it has attributes BusinessAcceptsCreditCards, RestaurantsPriceRange2, WiFi, RestaurantsTakeOut, BusinessParking, Ambience, BusinessAcceptsBitcoin, RestaurantsAttire, NoiseLevel, Caters, RestaurantsGoodForGroups, Alcohol, HasTV, BikeParking, RestaurantsReservations, BestNights, OutdoorSeating, RestaurantsDelivery, GoodForKids, GoodForDancing, Music, GoodForMeal and lacks None.""}"
Restaurants in Wilmington with more than 4.5 rating that are not appointment only?,There are no restaurants in Wilmington that are not appointment only and have a star rating above 4.5.,"{'query': 'Restaurants in Wilmington with more than 4.5 rating that are not appointment only?', 'result': "" Based on the information provided, there are two restaurants in Wilmington with more than 4.5 rating that are not appointment only: Mary's Kountry Kitchen and [Name of another restaurant].""}"
Restaurants in Santa Barbara with more than 4.5 rating that are not appointment only?,"Following restaurants in Santa Barbara that are not appointment only and have a star rating above 4.5: Urban Optics Optometric Center, Santa Barbara Frame Shop & Gallery, The H Law Group, TRiMM Salon Color Bar","{'query': 'Restaurants in Santa Barbara with more than 4.5 rating that are not appointment only?', 'result': ' Based on the information provided, Islands Restaurant has more than 4.5 rating and is not appointment only.'}"
Restaurants in Saint Petersburg with more than 4.5 rating that are not appointment only?,Following restaurants in Saint Petersburg that are not appointment only and have a star rating above 4.5: Furry Friends Pet Grooming Shop,"{'query': 'Restaurants in Saint Petersburg with more than 4.5 rating that are not appointment only?', 'result': ' Based on the information provided, Bob Evans in city St Petersburg state FL has 2.5 rating and Dooners in city Saint Petersburg state FL has 3.5 rating. Therefore, the answer to your question is Bob Evans.'}"
Restaurants in Nashville with more than 4.9,"Following restaurants in Nashville have more than 4.9 rating: barre3 Nashville - The Gulch, getFIT615, Izzie's Ice, Armstrong Locksmith, Gossage Jewelers, The Handsomizerâ¢, Gypsy Apple Beauty, Natchez Trace Parkway, The Spine Shop Chiropractic, Springtime Fitness, Harlow Salon, Parker's Paws Animal Hospital, Anderson Design Group, Float Nashville, Green Hills Seamstress","{'query': 'Restaurants in Nashville with more than 4.9', 'result': ' Based on the information provided, there are three restaurants in Nashville with more than 4.9 rating: City Limits Bakery & Cafe (4.0), Watermark Restaurant (4.0), and Coffee, Lunch. (4.0).'}"
Restaurants in Clementon with more than 4.9,There are no restaurants in Clementon with more than 4.9 rating.,"{'query': 'Restaurants in Clementon with more than 4.9', 'result': ' Based on the information provided, La-China Poblana in city Clementon state NJ has a rating of 4.0 and offers Mexican, Restaurants food. It has attributes such as BusinessParking, Caters, BikeParking, RestaurantsReservations, GoodForMeal, RestaurantsPriceRange2, RestaurantsAttire, HasTV, Alcohol, NoiseLevel, Ambience, RestaurantsDelivery, RestaurantsTakeOut, OutdoorSeating, RestaurantsGoodForGroups, WiFi, RestaurantsTableService, GoodForKids, BusinessAcceptsCreditCards.\n\nPlease provide more context if you want me to answer your question differently.'}"
Restaurants in New Castle with more than 4.9,There are no restaurants in New Castle with more than 4.9 rating.,"{'query': 'Restaurants in New Castle with more than 4.9', 'result': "" Arner's Restaurant has a 2.0 rating on TripAdvisor with 57 reviews, indicating that it is not highly rated by users. However, some reviews suggest that the restaurant may offer good food and service, particularly for breakfast or brunch. It is important to note that user ratings can vary greatly depending on personal preferences and experiences, so it is always a good idea to read multiple reviews and form your own opinion about a restaurant.""}"
Restaurants in New Orleans with more than 4.9,"Following restaurants in New Orleans have more than 4.9 rating: Ann Becnel Companion Dogs, The Music Box Village, Ernie's Tours, Brooms N Buckets, Century Girl, Hidden History Tours, CrossFit NOLA, New Orleans Boxing Club, Treasure Tattoo, Le Monde Creole, Savage Beauty Salon, Revival, Webb's Bywater Music, Ice Cream 504","{'query': 'Restaurants in New Orleans with more than 4.9', 'result': ' SWEGS Kitchen - Mid-City has 4.0 rating for 67 reviews, offers Cafes, Burgers, Comfort Food, Restaurants, American (New), Sandwiches, Breakfast & Brunch, Pizza, Gluten-Free food and it has attributes OutdoorSeating, RestaurantsReservations, Caters, GoodForKids, DogsAllowed, WheelchairAccessible, RestaurantsGoodForGroups, NoiseLevel, Ambience, DriveThru, RestaurantsTakeOut, RestaurantsDelivery, BusinessAcceptsCreditCards, RestaurantsAttire, RestaurantsTableService, BusinessParking, BikeParking, HasTV, Alcohol, WiFi, RestaurantsPriceRange2, GoodForMeal and lacks None.'}"
Restaurants in Harvey with more than 4.9,There are no restaurants in Harvey with more than 4.9 rating.,"{'query': 'Restaurants in Harvey with more than 4.9', 'result': "" Ricardo's Italian Cafe has a rating of 3.5, which is higher than 4.9.""}"
Restaurants in Yardley with more than 4.9,There are no restaurants in Yardley with more than 4.9 rating.,"{'query': 'Restaurants in Yardley with more than 4.9', 'result': "" McCaffrey's Supermarket in Yardley has a 3.5 rating with 35 reviews, indicating that it is a good option for those looking for a grocery store with a wide selection of organic and minimally processed foods, as well as a decent hot bar and salad bar. The user also mentions that the bakery is good and usually has samples for kids and adults. However, the user does mention some gripes such as the produce guys acting like undertakers and the dimwit and preppy teens who work here making errors on about 25% of their checkouts.\n\nAlternatively, 6 North Cafe in Ballwin has a 4.0 rating with 91 reviews, indicating that it is a great option for those looking for a cafe with good quality and service, as well as a convenient carry-out option. The user also mentions that the salads are fresher and cheaper than most other places in the category.\n\nShopRite of East Norriton in East Norriton has a 2.5 rating with 36 reviews, indicating that it is a decent option for those looking for a grocery store with a wide selection of organic and minimally processed foods, as well as a good pet food section. However, the user does mention that the store can be busy and the aisles can be narrow.""}"
